cohort_month,total_cohort_customers,month_number,active_retained_customers,retention_rate_percentage,cohort_revenue_generated
2023-01,80,0,46,57.5,31250.61
2023-01,80,1,58,72.5,41051.54
2023-01,80,2,55,68.75,35456.77
2023-01,80,3,38,47.5,20945.68
2023-01,80,4,30,37.5,17482.59
2023-01,80,5,29,36.25,14950.78
2023-01,80,6,15,18.75,5718.12
2023-01,80,7,9,11.25,3824.79
2023-01,80,8,9,11.25,2891.57
2023-01,80,9,11,13.75,3383.50
2023-01,80,10,4,5.0,2352.69
2023-01,80,11,2,2.5,707.75
2023-01,80,12,4,5.0,1130.62
2023-01,80,13,1,1.25,475.59
2023-01,80,14,1,1.25,266.80
2023-01,80,15,1,1.25,575.12
2023-02,72,0,35,48.61,23869.66
2023-02,72,1,54,75.0,34263.85
2023-02,72,2,50,69.44,25851.63
2023-02,72,3,44,61.11,20922.76
2023-02,72,4,29,40.28,11142.60
2023-02,72,5,22,30.56,9696.31
2023-02,72,6,20,27.78,7872.82
2023-02,72,7,16,22.22,5270.60
2023-02,72,8,12,16.67,4897.35
2023-02,72,9,10,13.89,2492.74
2023-02,72,10,3,4.17,1623.03
2023-02,72,11,2,2.78,735.28
2023-02,72,12,2,2.78,261.59
2023-02,72,13,3,4.17,843.66
2023-02,72,14,1,1.39,112.15
2023-02,72,15,2,2.78,1330.93
2023-02,72,21,1,1.39,213.90
2023-02,72,22,1,1.39,199.67
2023-03,68,0,45,66.18,30659.70
2023-03,68,1,54,79.41,35236.08
2023-03,68,2,43,63.24,22132.78
2023-03,68,3,33,48.53,14802.14
2023-03,68,4,20,29.41,11996.34
2023-03,68,5,25,36.76,11703.63
2023-03,68,6,23,33.82,13011.12
2023-03,68,7,11,16.18,3964.87
2023-03,68,8,11,16.18,3352.69
2023-03,68,9,2,2.94,691.69
2023-03,68,10,5,7.35,1142.36
2023-03,68,11,3,4.41,1643.93
2023-03,68,14,2,2.94,747.80
2023-03,68,15,1,1.47,920.99
2023-03,68,16,1,1.47,34.24
2023-03,68,17,1,1.47,401.27
2023-03,68,20,1,1.47,247.05
2023-03,68,21,1,1.47,227.52
2023-03,68,22,1,1.47,908.12
2023-04,75,0,41,54.67,23791.33
2023-04,75,1,56,74.67,38969.10
2023-04,75,2,48,64.0,31283.39
2023-04,75,3,33,44.0,17698.30
2023-04,75,4,36,48.0,15797.88
2023-04,75,5,18,24.0,7542.67
2023-04,75,6,15,20.0,7253.86
2023-04,75,7,13,17.33,4156.74
2023-04,75,8,12,16.0,5588.86
2023-04,75,9,5,6.67,2522.12
2023-04,75,10,7,9.33,3064.38
2023-04,75,11,1,1.33,834.60
2023-04,75,12,4,5.33,1537.18
2023-04,75,13,3,4.0,1585.40
2023-04,75,14,1,1.33,310.38
2023-04,75,16,3,4.0,287.14
2023-04,75,17,1,1.33,1345.57
2023-04,75,23,1,1.33,209.90
2023-04,75,27,1,1.33,496.15
2023-05,63,0,37,58.73,23359.28
2023-05,63,1,42,66.67,28639.79
2023-05,63,2,46,73.02,29879.32
2023-05,63,3,34,53.97,17793.37
2023-05,63,4,30,47.62,16324.98
2023-05,63,5,24,38.1,9584.96
2023-05,63,6,18,28.57,5260.26
2023-05,63,7,10,15.87,4105.56
2023-05,63,8,5,7.94,1713.06
2023-05,63,9,10,15.87,4042.53
2023-05,63,10,7,11.11,2025.98
2023-05,63,11,3,4.76,1221.53
2023-05,63,14,2,3.17,331.01
2023-05,63,15,1,1.59,242.22
2023-05,63,18,1,1.59,134.32
2023-06,75,0,38,50.67,22481.07
2023-06,75,1,63,84.0,47175.75
2023-06,75,2,49,65.33,28385.33
2023-06,75,3,36,48.0,14912.13
2023-06,75,4,39,52.0,17810.28
2023-06,75,5,20,26.67,8898.84
2023-06,75,6,14,18.67,6513.50
2023-06,75,7,12,16.0,3351.65
2023-06,75,8,9,12.0,2342.04
2023-06,75,9,5,6.67,1776.63
2023-06,75,10,3,4.0,1738.95
2023-06,75,11,2,2.67,850.63
2023-06,75,12,2,2.67,1457.00
2023-06,75,13,2,2.67,552.31
2023-06,75,15,1,1.33,891.64
2023-06,75,16,1,1.33,91.12
2023-06,75,19,1,1.33,496.22
2023-06,75,21,1,1.33,209.52
2023-06,75,26,1,1.33,567.98
2023-06,75,32,1,1.33,713.84
2023-07,73,0,42,57.53,23983.59
2023-07,73,1,55,75.34,32249.79
2023-07,73,2,52,71.23,32343.80
2023-07,73,3,38,52.05,23392.37
2023-07,73,4,25,34.25,12622.58
2023-07,73,5,21,28.77,9754.58
2023-07,73,6,18,24.66,6509.60
2023-07,73,7,16,21.92,6073.05
2023-07,73,8,7,9.59,3704.00
2023-07,73,9,4,5.48,2702.61
2023-07,73,10,4,5.48,2485.37
2023-07,73,11,4,5.48,709.01
2023-07,73,12,3,4.11,603.76
2023-07,73,13,1,1.37,232.34
2023-07,73,14,1,1.37,143.24
2023-07,73,17,1,1.37,54.38
2023-07,73,19,1,1.37,541.97
2023-07,73,23,1,1.37,740.43
2023-08,74,0,49,66.22,29800.88
2023-08,74,1,55,74.32,38185.95
2023-08,74,2,49,66.22,25354.44
2023-08,74,3,39,52.7,12710.33
2023-08,74,4,33,44.59,15530.61
2023-08,74,5,16,21.62,6899.38
2023-08,74,6,17,22.97,7539.81
2023-08,74,7,15,20.27,5460.68
2023-08,74,8,10,13.51,4154.13
2023-08,74,9,10,13.51,4394.36
2023-08,74,10,3,4.05,934.76
2023-08,74,11,1,1.35,394.76
2023-08,74,12,1,1.35,295.08
2023-08,74,13,4,5.41,633.34
2023-08,74,14,3,4.05,1099.77
2023-08,74,15,1,1.35,313.64
2023-08,74,16,1,1.35,522.47
2023-08,74,18,1,1.35,36.22
2023-08,74,19,3,4.05,1255.06
2023-08,74,20,1,1.35,121.95
2023-08,74,21,1,1.35,120.38
2023-09,72,0,42,58.33,23619.40
2023-09,72,1,58,80.56,41787.93
2023-09,72,2,45,62.5,28869.93
2023-09,72,3,38,52.78,16716.85
2023-09,72,4,21,29.17,9744.86
2023-09,72,5,24,33.33,11174.19
2023-09,72,6,14,19.44,5603.05
2023-09,72,7,16,22.22,6287.91
2023-09,72,8,9,12.5,2940.39
2023-09,72,9,4,5.56,1327.59
2023-09,72,10,4,5.56,1675.19
2023-09,72,11,4,5.56,1074.39
2023-09,72,12,4,5.56,1504.82
2023-09,72,13,3,4.17,969.99
2023-09,72,15,1,1.39,424.48
2023-09,72,18,1,1.39,712.14
2023-09,72,21,1,1.39,120.38
2023-09,72,27,1,1.39,46.48
2023-10,82,0,46,56.1,25294.57
2023-10,82,1,67,81.71,38372.20
2023-10,82,2,51,62.2,29891.09
2023-10,82,3,43,52.44,20626.33
2023-10,82,4,39,47.56,15532.73
2023-10,82,5,22,26.83,7458.04
2023-10,82,6,24,29.27,7437.65
2023-10,82,7,16,19.51,5804.85
2023-10,82,8,10,12.2,2998.19
2023-10,82,9,9,10.98,2972.48
2023-10,82,10,4,4.88,1802.70
2023-10,82,11,5,6.1,1740.06
2023-10,82,12,5,6.1,1530.67
2023-10,82,13,2,2.44,1303.46
2023-10,82,14,1,1.22,148.84
2023-10,82,16,1,1.22,142.10
2023-10,82,17,1,1.22,383.50
2023-11,72,0,42,58.33,24072.76
2023-11,72,1,54,75.0,37045.94
2023-11,72,2,53,73.61,32996.19
2023-11,72,3,23,31.94,8719.67
2023-11,72,4,36,50.0,19598.10
2023-11,72,5,20,27.78,6024.58
2023-11,72,6,14,19.44,5260.27
2023-11,72,7,13,18.06,7358.75
2023-11,72,8,6,8.33,2003.87
2023-11,72,9,8,11.11,5482.43
2023-11,72,10,4,5.56,817.47
2023-11,72,11,5,6.94,2465.71
2023-11,72,12,3,4.17,1144.02
2023-11,72,13,3,4.17,893.16
2023-11,72,16,1,1.39,246.78
2023-11,72,21,1,1.39,140.18
2023-12,65,0,36,55.38,21094.39
2023-12,65,1,49,75.38,33519.32
2023-12,65,2,40,61.54,20319.51
2023-12,65,3,41,63.08,17286.41
2023-12,65,4,35,53.85,14451.78
2023-12,65,5,22,33.85,12623.71
2023-12,65,6,13,20.0,5594.59
2023-12,65,7,10,15.38,3978.96
2023-12,65,8,11,16.92,4935.66
2023-12,65,9,8,12.31,1746.06
2023-12,65,10,7,10.77,3078.08
2023-12,65,11,4,6.15,872.49
2023-12,65,12,2,3.08,320.17
2023-12,65,13,1,1.54,327.32
2023-12,65,15,3,4.62,846.73
2023-12,65,17,1,1.54,317.90
2024-01,78,0,51,65.38,30973.65
2024-01,78,1,59,75.64,39472.54
2024-01,78,2,52,66.67,26170.17
2024-01,78,3,39,50.0,19554.31
2024-01,78,4,31,39.74,14004.40
2024-01,78,5,19,24.36,5383.84
2024-01,78,6,17,21.79,8626.78
2024-01,78,7,9,11.54,2442.60
2024-01,78,8,5,6.41,1574.83
2024-01,78,9,7,8.97,4480.03
2024-01,78,10,1,1.28,120.38
2024-01,78,11,5,6.41,660.35
2024-01,78,12,5,6.41,844.62
2024-01,78,13,1,1.28,152.68
2024-01,78,14,4,5.13,2006.28
2024-01,78,15,1,1.28,290.24
2024-01,78,16,2,2.56,536.23
2024-01,78,17,1,1.28,283.42
2024-01,78,19,1,1.28,299.89
2024-02,79,0,40,50.63,23418.16
2024-02,79,1,62,78.48,35537.72
2024-02,79,2,51,64.56,29446.39
2024-02,79,3,45,56.96,18953.93
2024-02,79,4,30,37.97,16490.25
2024-02,79,5,19,24.05,6807.88
2024-02,79,6,20,25.32,8087.13
2024-02,79,7,15,18.99,6508.38
2024-02,79,8,12,15.19,5599.53
2024-02,79,9,7,8.86,1731.63
2024-02,79,10,1,1.27,317.90
2024-02,79,11,2,2.53,853.62
2024-02,79,12,3,3.8,518.89
2024-02,79,13,1,1.27,1290.63
2024-02,79,17,1,1.27,624.26
2024-02,79,19,1,1.27,312.13
2024-03,81,0,46,56.79,23043.29
2024-03,81,1,63,77.78,40875.34
2024-03,81,2,51,62.96,31852.73
2024-03,81,3,49,60.49,22665.93
2024-03,81,4,33,40.74,16467.52
2024-03,81,5,21,25.93,9484.75
2024-03,81,6,12,14.81,4852.44
2024-03,81,7,16,19.75,5007.01
2024-03,81,8,13,16.05,4898.01
2024-03,81,9,8,9.88,4091.18
2024-03,81,10,7,8.64,3328.78
2024-03,81,11,2,2.47,429.30
2024-03,81,12,3,3.7,872.97
2024-03,81,14,2,2.47,665.06
2024-03,81,15,1,1.23,445.49
2024-03,81,16,1,1.23,140.18
2024-03,81,21,1,1.23,633.53
2024-04,60,0,26,43.33,13002.00
2024-04,60,1,48,80.0,34987.21
2024-04,60,2,40,66.67,24911.75
2024-04,60,3,32,53.33,14008.92
2024-04,60,4,32,53.33,14456.27
2024-04,60,5,23,38.33,10137.63
2024-04,60,6,20,33.33,8147.34
2024-04,60,7,7,11.67,1354.46
2024-04,60,8,8,13.33,3436.71
2024-04,60,9,4,6.67,1779.28
2024-04,60,10,4,6.67,764.26
2024-04,60,11,1,1.67,19.60
2024-04,60,12,3,5.0,2322.89
2024-04,60,13,2,3.33,1251.56
2024-04,60,14,1,1.67,116.66
2024-04,60,15,1,1.67,180.13
2024-04,60,16,1,1.67,233.32
2024-05,31,0,24,77.42,16776.48
2024-05,31,1,20,64.52,16316.05
2024-05,31,2,24,77.42,13528.92
2024-05,31,3,16,51.61,7303.21
2024-05,31,4,16,51.61,7898.22
2024-05,31,5,8,25.81,2963.85
2024-05,31,6,6,19.35,3179.35
2024-05,31,7,5,16.13,2865.06
2024-05,31,8,5,16.13,1638.58
2024-05,31,9,2,6.45,1364.31
2024-05,31,10,3,9.68,671.72
2024-05,31,11,3,9.68,1029.52
2024-05,31,12,2,6.45,1160.61
2024-05,31,14,2,6.45,1093.45
2024-05,31,24,1,3.23,214.91
