order_id,customer_id,date_key,order_date,ordered_at,order_status,is_successful_order,is_cancelled,is_returned,payment_method,shipping_cost,distinct_items_count,total_quantity,gross_order_amount,total_discount_amount,net_merchandise_amount,total_order_cost,total_gross_profit,total_paid_amount
ORD_20001,CUST_2186,2024-06-01,2024-06-01,2024-06-01 17:00:00,Completed,1,0,0,Credit Card,0.00,1,1,157.89,15.79,142.10,114.06,28.04,142.10
ORD_20002,CUST_1713,2024-02-21,2024-02-21,2024-02-21 18:00:00,Cancelled,0,1,0,QRIS,0.00,1,2,296.12,0.00,296.12,145.76,150.36,296.12
ORD_20003,CUST_1158,2023-08-27,2023-08-27,2023-08-27 19:00:00,Completed,1,0,0,QRIS,3.54,2,2,136.87,0.00,136.87,83.80,53.07,140.41
ORD_20004,CUST_1893,2024-02-23,2024-02-23,2024-02-23 03:00:00,Shipped,1,0,0,Credit Card,0.00,1,2,35.90,0.00,35.90,18.52,17.38,35.90
ORD_20005,CUST_1140,2024-10-15,2024-10-15,2024-10-15 11:00:00,Completed,1,0,0,QRIS,0.00,1,1,142.79,0.00,142.79,80.37,62.42,142.79
ORD_20006,CUST_1658,2023-08-31,2023-08-31,2023-08-31 14:00:00,Completed,1,0,0,Credit Card,4.07,1,2,108.76,0.00,108.76,62.24,46.52,112.83
ORD_20007,CUST_1503,2024-07-10,2024-07-10,2024-07-10 01:00:00,Completed,1,0,0,E-Wallet (GoPay/OVO),7.31,2,3,675.44,46.85,628.59,401.93,226.66,635.90
ORD_20008,CUST_1556,2024-06-25,2024-06-25,2024-06-25 05:00:00,Delivered,1,0,0,E-Wallet (GoPay/OVO),3.91,1,2,442.20,0.00,442.20,211.80,230.40,446.11
ORD_20009,CUST_1509,2024-03-03,2024-03-03,2024-03-03 15:00:00,Completed,1,0,0,E-Wallet (GoPay/OVO),0.00,1,2,307.22,0.00,307.22,192.34,114.88,307.22
ORD_20010,CUST_2028,2024-02-22,2024-02-22,2024-02-22 23:00:00,Completed,1,0,0,BNPL,0.00,2,3,893.11,0.00,893.11,428.87,464.24,893.11
ORD_20011,CUST_1992,2024-06-27,2024-06-27,2024-06-27 12:00:00,Completed,1,0,0,QRIS,0.00,1,2,379.22,0.00,379.22,270.06,109.16,379.22
ORD_20012,CUST_1152,2023-12-12,2023-12-12,2023-12-12 02:00:00,Completed,1,0,0,Virtual Account Bank Transfer,0.00,2,2,283.77,11.14,272.63,181.32,91.31,272.63
ORD_20013,CUST_2080,2023-09-16,2023-09-16,2023-09-16 07:00:00,Completed,1,0,0,Credit Card,2.58,1,2,32.76,0.00,32.76,20.88,11.88,35.34
ORD_20014,CUST_1355,2024-01-17,2024-01-17,2024-01-17 01:00:00,Completed,1,0,0,Virtual Account Bank Transfer,4.64,4,5,974.39,34.15,940.24,625.29,314.95,944.88
ORD_20015,CUST_1474,2023-03-14,2023-03-14,2023-03-14 10:00:00,Shipped,1,0,0,E-Wallet (GoPay/OVO),0.00,3,3,496.59,41.13,455.46,262.10,193.36,455.46
ORD_20016,CUST_1396,2023-10-07,2023-10-07,2023-10-07 19:00:00,Delivered,1,0,0,Credit Card,0.00,2,3,223.69,0.00,223.69,126.51,97.18,223.69
ORD_20017,CUST_1693,2023-06-05,2023-06-05,2023-06-05 12:00:00,Delivered,1,0,0,BNPL,0.00,1,1,272.35,0.00,272.35,156.67,115.68,272.35
ORD_20018,CUST_1259,2023-02-16,2023-02-16,2023-02-16 10:00:00,Shipped,1,0,0,E-Wallet (GoPay/OVO),0.00,1,2,500.62,0.00,500.62,311.10,189.52,500.62
ORD_20019,CUST_2140,2024-02-21,2024-02-21,2024-02-21 07:00:00,Completed,1,0,0,Credit Card,4.43,2,2,280.33,0.00,280.33,169.49,110.84,284.76
ORD_20020,CUST_1447,2023-05-13,2023-05-13,2023-05-13 01:00:00,Completed,1,0,0,Credit Card,3.37,1,1,165.80,0.00,165.80,95.91,69.89,169.17
