payment_id,order_id,payment_method,payment_status,amount,payment_timestamp
1,1,PayPal,success,359.13,2025-03-23 08:54:00
2,2,Apple Pay,success,1188.89,2024-07-31 00:36:00
3,3,Apple Pay,failed,430.21,2023-07-19 21:06:00
4,4,Credit Card,success,286.65,2024-01-03 18:42:00
5,5,Apple Pay,success,62.83,2025-02-10 18:26:00
6,6,Credit Card,success,214.58,2025-08-17 08:40:00
7,7,Credit Card,success,445.97,2024-12-04 15:28:00
8,8,Credit Card,success,228.1,2025-06-03 13:07:00
9,9,Bank Transfer,success,897.88,2024-11-18 23:56:00
10,10,Credit Card,success,20.73,2023-11-13 10:24:00
11,11,Credit Card,success,1684.96,2024-11-24 06:16:00
12,12,Credit Card,success,50.32,2025-09-06 11:42:00
13,13,Credit Card,success,339.85,2024-04-18 05:26:00
14,14,Apple Pay,success,898.5,2024-07-01 14:40:00
15,15,PayPal,success,822.6,2023-06-16 07:49:00
16,16,PayPal,success,903.87,2024-11-23 04:44:00
17,17,Crypto,success,906.7,2023-10-28 01:02:00
18,18,Credit Card,success,350.43,2024-04-28 01:49:00
19,19,Credit Card,success,293.8,2025-04-03 10:16:00
20,20,Crypto,success,309.71,2024-04-22 17:55:00
21,21,Credit Card,failed,65.86,2024-11-03 06:59:00
22,22,PayPal,success,188.19,2023-12-26 02:37:00
23,23,Apple Pay,success,543.89,2023-12-13 20:21:00
24,24,Credit Card,success,974.16,2025-10-04 11:12:00
25,25,Credit Card,failed,1505.84,2024-11-07 23:44:00
26,26,Apple Pay,success,1878.43,2024-08-14 15:58:00
27,27,PayPal,success,359.13,2024-05-26 08:09:00
28,28,PayPal,success,408.7,2024-02-26 11:16:00
29,29,Credit Card,success,379.83,2025-09-13 05:06:00
30,30,PayPal,success,622.33,2023-07-01 05:49:00
31,31,PayPal,success,327.63,2023-01-07 18:51:00
32,32,Credit Card,success,327.63,2024-01-27 08:23:00
33,33,Credit Card,success,404.41,2025-09-20 17:55:00
34,34,Credit Card,success,618.82,2024-05-10 09:15:00
35,35,Credit Card,success,324.88,2024-10-22 05:26:00
36,36,Credit Card,failed,523.04,2024-05-10 06:19:00
37,37,Credit Card,success,70.43,2024-06-14 12:30:00
38,38,Credit Card,success,598.11,2023-09-23 23:41:00
39,39,PayPal,success,577.02,2024-04-13 07:37:00
40,40,Credit Card,success,225.17,2025-01-05 07:37:00
41,41,Credit Card,success,195.16,2023-11-22 04:03:00
42,42,Credit Card,success,540.33,2024-07-28 16:22:00
43,43,Credit Card,success,191.82,2025-04-21 14:15:00
44,44,PayPal,failed,2161.98,2023-09-01 00:03:00
45,45,Credit Card,success,81.31,2024-08-21 07:30:00
46,46,PayPal,success,613.08,2025-06-13 11:28:00
47,47,Credit Card,success,90.94,2024-03-23 15:57:00
48,48,Credit Card,success,114.67,2025-07-02 22:37:00
49,49,Credit Card,success,395.11,2023-10-07 01:30:00
50,50,Credit Card,success,607.16,2025-03-16 12:28:00
51,51,Credit Card,success,104.88,2024-04-08 17:55:00
52,52,Credit Card,failed,798.97,2023-08-14 00:50:00
53,53,PayPal,success,575.82,2023-07-28 05:52:00
54,54,Credit Card,success,448.46,2023-11-21 00:46:00
55,55,PayPal,failed,424.34,2024-09-23 12:09:00
56,56,Credit Card,success,1679.25,2025-03-29 20:46:00
57,57,Apple Pay,success,855.49,2023-04-10 04:33:00
58,58,PayPal,success,778.53,2024-03-16 10:10:00
59,59,PayPal,success,448.94,2025-01-17 20:51:00
60,60,Apple Pay,success,359.15,2023-10-04 18:34:00
61,61,PayPal,success,182.48,2025-02-15 05:10:00
62,62,Apple Pay,success,1123.36,2023-11-23 11:50:00
63,63,Apple Pay,success,642.31,2024-07-04 09:24:00
64,64,Credit Card,success,1226.95,2024-02-10 19:32:00
65,65,Apple Pay,success,255.28,2025-03-14 06:04:00
66,66,Credit Card,success,568.03,2025-02-09 23:18:00
67,67,Credit Card,success,689.01,2024-07-13 22:22:00
68,68,PayPal,success,390.36,2025-09-15 01:19:00
69,69,Bank Transfer,success,132.38,2024-09-05 13:39:00
70,70,Credit Card,success,424.65,2025-05-15 02:22:00
71,71,Bank Transfer,success,206.97,2025-04-26 08:02:00
72,72,Crypto,success,266.63,2023-12-19 04:09:00
73,73,PayPal,success,319.61,2024-10-25 07:37:00
74,74,Credit Card,success,288.11,2023-11-28 23:16:00
75,75,Credit Card,success,451.46,2025-04-24 21:43:00
76,76,Credit Card,success,493.92,2025-07-10 07:41:00
77,77,Credit Card,success,504.83,2025-05-14 17:09:00
78,78,Crypto,failed,613.15,2024-12-10 15:43:00
79,79,Apple Pay,success,620.93,2024-06-24 05:22:00
80,80,Credit Card,success,374.34,2024-06-08 15:59:00
81,81,Bank Transfer,success,324.88,2024-02-11 01:32:00
82,82,Apple Pay,failed,89.37,2023-12-04 22:09:00
83,83,Credit Card,success,266.08,2024-02-13 20:43:00
84,84,Credit Card,failed,279.79,2023-06-16 08:36:00
