item_id,order_id,product_id,quantity,unit_price,discount_amount
ITEM_100001,ORD_20001,PROD_503,1,157.89,15.79
ITEM_100002,ORD_20002,PROD_518,2,148.06,0.0
ITEM_100003,ORD_20003,PROD_547,1,20.21,0.0
ITEM_100004,ORD_20003,PROD_524,1,116.66,0.0
ITEM_100005,ORD_20004,PROD_528,2,17.95,0.0
ITEM_100006,ORD_20005,PROD_530,1,142.79,0.0
ITEM_100007,ORD_20006,PROD_548,2,54.38,0.0
ITEM_100008,ORD_20007,PROD_504,1,130.74,19.61
ITEM_100009,ORD_20007,PROD_532,2,272.35,27.24
ITEM_100010,ORD_20008,PROD_580,2,221.1,0.0
ITEM_100011,ORD_20009,PROD_538,2,153.61,0.0
ITEM_100012,ORD_20010,PROD_561,2,375.16,0.0
ITEM_100013,ORD_20010,PROD_530,1,142.79,0.0
ITEM_100014,ORD_20011,PROD_515,2,189.61,0.0
ITEM_100015,ORD_20012,PROD_522,1,209.52,0.0
ITEM_100016,ORD_20012,PROD_520,1,74.25,11.14
ITEM_100017,ORD_20013,PROD_565,2,16.38,0.0
ITEM_100018,ORD_20014,PROD_546,1,209.69,0.0
ITEM_100019,ORD_20014,PROD_525,1,227.68,34.15
ITEM_100020,ORD_20014,PROD_545,1,246.78,0.0
ITEM_100021,ORD_20014,PROD_537,2,145.12,0.0
ITEM_100022,ORD_20015,PROD_570,1,85.34,0.0
ITEM_100023,ORD_20015,PROD_511,1,295.08,29.51
ITEM_100024,ORD_20015,PROD_568,1,116.17,11.62
ITEM_100025,ORD_20016,PROD_567,2,103.84,0.0
ITEM_100026,ORD_20016,PROD_507,1,16.01,0.0
ITEM_100027,ORD_20017,PROD_532,1,272.35,0.0
ITEM_100028,ORD_20018,PROD_539,2,250.31,0.0
ITEM_100029,ORD_20019,PROD_541,1,137.54,0.0
ITEM_100030,ORD_20019,PROD_530,1,142.79,0.0
ITEM_100031,ORD_20020,PROD_578,1,165.8,0.0
ITEM_100032,ORD_20021,PROD_513,1,126.72,0.0
ITEM_100033,ORD_20022,PROD_558,3,152.68,0.0
ITEM_100034,ORD_20022,PROD_570,2,85.34,17.07
ITEM_100035,ORD_20023,PROD_567,1,103.84,0.0
ITEM_100036,ORD_20024,PROD_553,1,123.16,12.32
ITEM_100037,ORD_20025,PROD_552,1,157.7,7.88
ITEM_100038,ORD_20025,PROD_523,1,104.47,0.0
ITEM_100039,ORD_20025,PROD_547,2,20.21,0.0
ITEM_100040,ORD_20025,PROD_531,1,242.35,12.12
ITEM_100041,ORD_20026,PROD_523,2,104.47,10.45
ITEM_100042,ORD_20026,PROD_565,1,16.38,0.0
ITEM_100043,ORD_20027,PROD_566,2,250.95,50.19
ITEM_100044,ORD_20028,PROD_569,1,274.5,0.0
ITEM_100045,ORD_20029,PROD_516,1,91.12,4.56
ITEM_100046,ORD_20030,PROD_524,1,116.66,11.67
ITEM_100047,ORD_20031,PROD_542,1,140.18,0.0
ITEM_100048,ORD_20032,PROD_539,1,250.31,0.0
ITEM_100049,ORD_20033,PROD_517,2,232.38,46.48
ITEM_100050,ORD_20034,PROD_524,2,116.66,0.0
ITEM_100051,ORD_20035,PROD_509,1,213.9,0.0
ITEM_100052,ORD_20036,PROD_505,1,64.22,0.0
ITEM_100053,ORD_20037,PROD_559,1,149.13,0.0
ITEM_100054,ORD_20037,PROD_531,2,242.35,0.0
ITEM_100055,ORD_20038,PROD_548,1,54.38,2.72
ITEM_100056,ORD_20038,PROD_543,2,313.64,31.36
ITEM_100057,ORD_20038,PROD_531,1,242.35,36.35
ITEM_100058,ORD_20039,PROD_533,2,161.57,0.0
