order_id,customer_id,order_timestamp,order_status,payment_method,shipping_cost
ORD_20001,CUST_2186,2024-06-01 17:00:00,Completed,Credit Card,0.0
ORD_20002,CUST_1713,2024-02-21 18:00:00,Cancelled,QRIS,0.0
ORD_20003,CUST_1158,2023-08-27 19:00:00,Completed,QRIS,3.54
ORD_20004,CUST_1893,2024-02-23 03:00:00,Shipped,Credit Card,0.0
ORD_20005,CUST_1140,2024-10-15 11:00:00,Completed,QRIS,0.0
ORD_20006,CUST_1658,2023-08-31 14:00:00,Completed,Credit Card,4.07
ORD_20007,CUST_1503,2024-07-10 01:00:00,Completed,E-Wallet (GoPay/OVO),7.31
ORD_20008,CUST_1556,2024-06-25 05:00:00,Delivered,E-Wallet (GoPay/OVO),3.91
ORD_20009,CUST_1509,2024-03-03 15:00:00,Completed,E-Wallet (GoPay/OVO),0.0
ORD_20010,CUST_2028,2024-02-22 23:00:00,Completed,BNPL,0.0
ORD_20011,CUST_1992,2024-06-27 12:00:00,Completed,QRIS,0.0
ORD_20012,CUST_1152,2023-12-12 02:00:00,Completed,Virtual Account Bank Transfer,0.0
ORD_20013,CUST_2080,2023-09-16 07:00:00,Completed,Credit Card,2.58
ORD_20014,CUST_1355,2024-01-17 01:00:00,Completed,Virtual Account Bank Transfer,4.64
ORD_20015,CUST_1474,2023-03-14 10:00:00,Shipped,E-Wallet (GoPay/OVO),0.0
ORD_20016,CUST_1396,2023-10-07 19:00:00,Delivered,Credit Card,0.0
ORD_20017,CUST_1693,2023-06-05 12:00:00,Delivered,BNPL,0.0
ORD_20018,CUST_1259,2023-02-16 10:00:00,Shipped,E-Wallet (GoPay/OVO),0.0
ORD_20019,CUST_2140,2024-02-21 07:00:00,Completed,Credit Card,4.43
ORD_20020,CUST_1447,2023-05-13 01:00:00,Completed,Credit Card,3.37
ORD_20021,CUST_1395,2023-09-29 22:00:00,Completed,QRIS,7.75
ORD_20022,CUST_1369,2023-11-18 04:00:00,Shipped,E-Wallet (GoPay/OVO),0.0
ORD_20023,CUST_1133,2023-03-19 05:00:00,Completed,E-Wallet (GoPay/OVO),5.74
ORD_20024,CUST_1682,2024-01-03 11:00:00,Shipped,Virtual Account Bank Transfer,0.0
ORD_20025,CUST_1514,2023-09-14 08:00:00,Completed,BNPL,5.33
ORD_20026,CUST_1660,2023-06-18 12:00:00,Completed,E-Wallet (GoPay/OVO),0.0
ORD_20027,CUST_1565,2023-08-04 04:00:00,Cancelled,E-Wallet (GoPay/OVO),7.93
ORD_20028,CUST_1560,2023-05-08 08:00:00,Cancelled,QRIS,3.61
ORD_20029,CUST_1894,2024-05-11 19:00:00,Completed,Credit Card,2.99
ORD_20030,CUST_1021,2023-04-05 05:00:00,Returned,Virtual Account Bank Transfer,0.0
ORD_20031,CUST_2135,2024-02-17 00:00:00,Completed,Credit Card,4.16
ORD_20032,CUST_1281,2024-01-11 19:00:00,Completed,E-Wallet (GoPay/OVO),0.0
ORD_20033,CUST_1126,2024-04-10 09:00:00,Completed,BNPL,5.55
ORD_20034,CUST_1010,2024-02-18 03:00:00,Completed,Credit Card,0.0
ORD_20035,CUST_1387,2023-10-11 13:00:00,Shipped,QRIS,7.05
ORD_20036,CUST_2050,2023-08-12 14:00:00,Completed,BNPL,0.0
ORD_20037,CUST_1259,2023-07-22 12:00:00,Completed,Virtual Account Bank Transfer,3.0
ORD_20038,CUST_2114,2023-02-25 05:00:00,Shipped,BNPL,4.08
ORD_20039,CUST_1832,2023-05-22 07:00:00,Delivered,QRIS,7.44
ORD_20040,CUST_1264,2024-05-13 17:00:00,Completed,E-Wallet (GoPay/OVO),3.09
ORD_20041,CUST_1502,2023-08-22 19:00:00,Completed,Credit Card,8.66
ORD_20042,CUST_2117,2023-11-05 15:00:00,Completed,Credit Card,4.62
ORD_20043,CUST_1511,2024-05-25 12:00:00,Completed,QRIS,6.57
ORD_20044,CUST_1840,2024-02-06 04:00:00,Delivered,E-Wallet (GoPay/OVO),4.34
ORD_20045,CUST_1834,2023-09-25 20:00:00,Completed,E-Wallet (GoPay/OVO),0.0
ORD_20046,CUST_1948,2023-05-13 02:00:00,Completed,BNPL,0.0
ORD_20047,CUST_1826,2024-04-13 22:00:00,Shipped,QRIS,5.73
ORD_20048,CUST_1577,2024-03-11 00:00:00,Completed,Virtual Account Bank Transfer,3.86
ORD_20049,CUST_1046,2023-10-21 23:00:00,Completed,Credit Card,8.45
ORD_20050,CUST_1536,2024-03-13 02:00:00,Returned,Virtual Account Bank Transfer,0.0
