product_id,product_name,category,sub_category,cost_price,retail_price,is_active
PROD_501,Smartphone (Standard),Electronics,Smartphone,124.34,199.67,1
PROD_502,Smartphone (Pro),Electronics,Smartphone,138.11,242.11,1
PROD_503,Smartphone (Lite),Electronics,Smartphone,114.06,157.89,1
PROD_504,Smartphone (Premium),Electronics,Smartphone,88.59,130.74,0
PROD_505,Wireless Earbuds (Standard),Electronics,Wireless Earbuds,43.96,64.22,1
PROD_506,Wireless Earbuds (Pro),Electronics,Wireless Earbuds,140.28,240.11,1
PROD_507,Wireless Earbuds (Lite),Electronics,Wireless Earbuds,11.61,16.01,1
PROD_508,Wireless Earbuds (Premium),Electronics,Wireless Earbuds,148.46,312.13,1
PROD_509,Smartwatch (Standard),Electronics,Smartwatch,100.6,213.9,1
PROD_510,Smartwatch (Pro),Electronics,Smartwatch,150.69,220.56,1
PROD_511,Smartwatch (Lite),Electronics,Smartwatch,137.24,295.08,1
PROD_512,Smartwatch (Premium),Electronics,Smartwatch,70.51,151.42,1
PROD_513,Mechanical Keyboard (Standard),Electronics,Mechanical Keyboard,65.13,126.72,1
PROD_514,Mechanical Keyboard (Pro),Electronics,Mechanical Keyboard,167.86,255.83,1
PROD_515,Mechanical Keyboard (Lite),Electronics,Mechanical Keyboard,135.03,189.61,1
PROD_516,Mechanical Keyboard (Premium),Electronics,Mechanical Keyboard,56.64,91.12,0
PROD_517,USB-C Hub (Standard),Electronics,USB-C Hub,118.56,232.38,0
PROD_518,USB-C Hub (Pro),Electronics,USB-C Hub,72.88,148.06,1
PROD_519,USB-C Hub (Lite),Electronics,USB-C Hub,157.56,236.9,1
PROD_520,USB-C Hub (Premium),Electronics,USB-C Hub,45.63,74.25,1
PROD_521,Gaming Monitor (Standard),Electronics,Gaming Monitor,75.73,141.39,1
PROD_522,Gaming Monitor (Pro),Electronics,Gaming Monitor,135.69,209.52,1
PROD_523,Gaming Monitor (Lite),Electronics,Gaming Monitor,59.59,104.47,1
PROD_524,Gaming Monitor (Premium),Electronics,Gaming Monitor,69.03,116.66,1
PROD_525,Oversized Hoodie (Standard),Apparel,Oversized Hoodie,108.33,227.68,1
PROD_526,Oversized Hoodie (Pro),Apparel,Oversized Hoodie,110.82,212.22,1
PROD_527,Oversized Hoodie (Lite),Apparel,Oversized Hoodie,128.59,218.49,1
PROD_528,Oversized Hoodie (Premium),Apparel,Oversized Hoodie,9.26,17.95,1
PROD_529,Slim Fit Chinos (Standard),Apparel,Slim Fit Chinos,14.6,24.28,0
PROD_530,Slim Fit Chinos (Pro),Apparel,Slim Fit Chinos,80.37,142.79,1
PROD_531,Slim Fit Chinos (Lite),Apparel,Slim Fit Chinos,131.37,242.35,1
PROD_532,Slim Fit Chinos (Premium),Apparel,Slim Fit Chinos,156.67,272.35,1
PROD_533,Graphic T-Shirt (Standard),Apparel,Graphic T-Shirt,74.4,161.57,1
PROD_534,Graphic T-Shirt (Pro),Apparel,Graphic T-Shirt,22.31,46.48,1
PROD_535,Graphic T-Shirt (Lite),Apparel,Graphic T-Shirt,19.83,36.04,1
PROD_536,Graphic T-Shirt (Premium),Apparel,Graphic T-Shirt,158.97,242.17,1
PROD_537,Sneakers (Standard),Apparel,Sneakers,103.92,145.12,0
PROD_538,Sneakers (Pro),Apparel,Sneakers,96.17,153.61,1
PROD_539,Sneakers (Lite),Apparel,Sneakers,155.55,250.31,1
PROD_540,Sneakers (Premium),Apparel,Sneakers,30.2,48.42,1
PROD_541,Running Jacket (Standard),Apparel,Running Jacket,89.12,137.54,1
PROD_542,Running Jacket (Pro),Apparel,Running Jacket,65.23,140.18,1
PROD_543,Running Jacket (Lite),Apparel,Running Jacket,177.96,313.64,1
PROD_544,Running Jacket (Premium),Apparel,Running Jacket,161.28,280.84,1
